Product Name,Quantity,Expiry Date,Monthly Consumption,Donated to NGO,Waste
Rice,125kg,15-12-2024,45kg,5kg,2kg
Wheat Flour,80kg,10-12-2024,30kg,3kg,1kg
Vegetable Oil,50L,30-11-2024,20L,2L,0.5L
Tomatoes,40kg,15-11-2024,35kg,3kg,2kg
Onions,60kg,20-11-2024,40kg,2kg,3kg
Potatoes,75kg,25-11-2024,50kg,4kg,3kg
Chicken,45kg,12-11-2024,40kg,3kg,2kg
Fish,30kg,10-11-2024,25kg,2kg,3kg
Eggs,500units,18-11-2024,450units,20units,30units
Milk,100L,11-11-2024,90L,5L,5L
Cheese,25kg,25-11-2024,20kg,2kg,3kg
Butter,20kg,05-12-2024,15kg,2kg,1kg
Yogurt,40L,15-11-2024,35L,3L,2L
Carrots,35kg,14-11-2024,30kg,3kg,2kg
Cabbage,40kg,13-11-2024,35kg,3kg,2kg
Bell Peppers,25kg,12-11-2024,20kg,2kg,3kg
Mushrooms,20kg,11-11-2024,18kg,1kg,1kg
Garlic,15kg,20-12-2024,12kg,1kg,2kg
Ginger,10kg,18-12-2024,8kg,1kg,1kg
Sugar,60kg,15-01-2025,50kg,5kg,5kg
Salt,40kg,20-02-2025,35kg,0kg,5kg
Black Pepper,5kg,25-12-2024,4kg,0kg,1kg
Cumin,4kg,20-12-2024,3kg,0kg,1kg
Coriander,3kg,15-12-2024,2.5kg,0kg,0.5kg
Turmeric,6kg,10-12-2024,5kg,0kg,1kg
Cardamom,2kg,05-12-2024,1.5kg,0kg,0.5kg
Cinnamon,3kg,01-12-2024,2.5kg,0kg,0.5kg
Pasta,45kg,30-12-2024,40kg,3kg,2kg
Noodles,35kg,25-12-2024,30kg,3kg,2kg
Bread,100units,12-11-2024,90units,5units,5units
Lettuce,30kg,11-11-2024,25kg,3kg,2kg
Cucumber,25kg,12-11-2024,20kg,3kg,2kg
Lemons,20kg,15-11-2024,15kg,2kg,3kg
Limes,15kg,14-11-2024,12kg,2kg,1kg
Apples,40kg,20-11-2024,35kg,3kg,2kg
Bananas,35kg,13-11-2024,30kg,3kg,2kg
Oranges,30kg,18-11-2024,25kg,3kg,2kg
Grapes,25kg,14-11-2024,20kg,3kg,2kg
Pineapples,20units,15-11-2024,15units,3units,2units
Watermelons,15units,16-11-2024,12units,2units,1unit
Mangoes,30kg,17-11-2024,25kg,3kg,2kg
Cream,20L,20-11-2024,15L,3L,2L
Heavy Cream,15L,19-11-2024,12L,2L,1L
Sour Cream,10L,18-11-2024,8L,1L,1L
Mayonnaise,12kg,15-12-2024,10kg,1kg,1kg
Ketchup,15kg,20-12-2024,12kg,2kg,1kg
Mustard,8kg,25-12-2024,6kg,1kg,1kg
Soy Sauce,10L,30-12-2024,8L,1L,1L
Vinegar,12L,15-01-2025,10L,1L,1L
Olive Oil,20L,10-12-2024,15L,3L,2L
Bean,30,2024-11-10,20,3,1
Bean,30,2024-10-31,20,3,1
Bean,30,2024-11-13,20,3,1
